Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
   SkypeApp.exe	Suspended	11,784 K	29,948 K	2272		
   RuntimeBroker.exe		2,208 K	12,924 K	5568		
   RuntimeBroker.exe		1,772 K	10,844 K	8188		
   backgroundTaskHost.exe	Suspended	2,544 K	10,604 K	8364		
   RuntimeBroker.exe		1,896 K	7,556 K	5812		
   backgroundTaskHost.exe	Suspended	11,212 K	27,260 K	4272		
   RuntimeBroker.exe		1,972 K	11,660 K	6744		
   backgroundTaskHost.exe	Suspended	5,260 K	22,604 K	10500	Background Task Host	Microsoft Corporation
   BackgroundTransferHost.exe		4,736 K	23,664 K	11100	Download/Upload Host	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	5,512 K	15,944 K	8256		
  svchost.exe	0.53	9,688 K	17,480 K	868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	2,632 K	8,596 K	916	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,544 K	10,612 K	408	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,936 K	15,296 K	860	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe	0.01	7,020 K	17,792 K	3952	Host Process for Windows Tasks	Microsoft Corporation
   taskhostw.exe		6,040 K	15,296 K	2932		
  svchost.exe		2,836 K	12,868 K	1128	Host Process for Windows Services	Microsoft Corporation
  VBoxService.exe	1.05	2,884 K	8,068 K	1172	VirtualBox Guest Additions Service	Oracle Corporation
  svchost.exe		2,768 K	9,876 K	1196	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		8,316 K	35,640 K	3688	Shell Infrastructure Host	Microsoft Corporation
   sihost.exe	0.43	6,188 K	27,080 K	8652		
  svchost.exe	0.37	75,440 K	81,340 K	1264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,336 K	5,760 K	1284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.07	1,688 K	6,148 K	1368	Host Process for Windows Services	Microsoft Corporation
